,Suburb,Address,Rooms,Type,Method,SellerG,Date
112,Airport West,3/7 South Rd,3,t,SP,Nelson,18/06/2016
113,Airport West,37 North St,3,t,SP,Barry,19/11/2016
114,Airport West,10 Hilbert Rd,3,h,S,Barry,22/05/2016
115,Airport West,7/42 York St,3,u,S,Brad,22/05/2016
116,Airport West,110 Halsey Rd,3,h,S,Barry,22/08/2016
117,Airport West,2/13 North St,2,u,S,Nelson,22/08/2016
118,Airport West,105a Victory Rd,3,h,S,Nelson,22/08/2016
119,Airport West,117 Marshall Rd,3,h,S,Brad,23/04/2016
120,Airport West,34 Moorna Dr,4,h,S,Nelson,24/09/2016
121,Airport West,2/89 Marshall Rd,3,u,VB,Barry,25/02/2017
122,Airport West,33 North St,3,h,PI,Nelson,25/02/2017
123,Airport West,4/40 McNamara Av,2,u,PI,Barry,26/07/2016
124,Airport West,5/93 McNamara Av,2,t,SP,Frank,26/07/2016
125,Airport West,2/137 McNamara Av,3,h,S,Ray,27/06/2016
126,Airport West,1/46 Bowes Av,3,t,S,Barry,27/11/2016
127,Airport West,1/34 Elstone Av,3,u,S,McDonald,27/11/2016
128,Airport West,49 Roberts Rd,4,h,S,Prof.,27/11/2016
129,Airport West,85 Roberts Rd,4,h,S,Harcourts,27/11/2016
130,Airport West,22a Walters Av,3,u,S,Nelson,28/08/2016
131,Airport West,1/145 Parer Rd,3,u,PI,Nelson,30/07/2016
132,Airport West,3/35 Walters Av,3,t,SP,Nelson,30/07/2016
133,Albert Park,105 Kerferd Rd,2,h,S,hockingstuart,3/09/2016
134,Albert Park,85 Richardson St,2,h,S,Thomson,3/09/2016
135,Albert Park,112 Beaconsfield Pde,3,h,PI,Buxton,4/03/2017
136,Albert Park,94 Graham St,3,h,S,Greg,4/03/2017
137,Albert Park,14 Merton St,2,h,SP,Marshall,4/03/2017
138,Albert Park,396 Montague St,2,h,S,RT,4/03/2017
139,Albert Park,9 Boyd St,3,h,SN,Greg,6/08/2016
140,Albert Park,75 Graham St,2,h,S,Marshall,6/08/2016
141,Albert Park,54 Brooke St,2,h,S,Sotheby's,7/05/2016
142,Albert Park,104 Richardson St,4,h,S,Marshall,7/05/2016
143,Albert Park,81 Richardson St,3,h,S,Marshall,7/05/2016
144,Albert Park,4a Mills St,3,t,VB,Marshall,7/11/2016
145,Albert Park,1 Moubray St,3,h,VB,Greg,7/11/2016
146,Albert Park,114 Victoria Av,3,h,S,Cayzer,8/10/2016
147,Albert Park,29 Faussett St,2,h,S,Greg,10/09/2016
148,Albert Park,3 Herbert St,3,h,VB,Cayzer,10/09/2016
149,Albert Park,24 Kerferd Pl,3,h,S,Marshall,10/09/2016
150,Albert Park,5 Withers St,3,h,SN,Marshall,10/09/2016
151,Albert Park,44 Draper St,2,h,PI,Greg,10/12/2016
152,Albert Park,2 Dundas Pl,3,h,S,Cayzer,10/12/2016
153,Albert Park,23 Finlay St,5,h,S,Greg,10/12/2016
154,Albert Park,31 Richardson St,3,h,S,hockingstuart,10/12/2016
155,Albert Park,4a Gatehouse La,3,h,S,Greg,12/06/2016
156,Albert Park,60 Brooke St,2,h,S,Cayzer,12/11/2016
157,Albert Park,140 Danks St,2,h,SP,Marshall,13/08/2016
158,Albert Park,70 Barrett St,3,h,S,Greg,15/10/2016
159,Albert Park,65 Graham St,2,h,S,Greg,15/10/2016
160,Albert Park,1 Herbert Pl,2,h,S,hockingstuart,15/10/2016
161,Albert Park,364 Montague St,2,h,S,Greg,15/10/2016
162,Albert Park,86 Mills St,3,h,VB,RT,16/04/2016
163,Albert Park,28 Dinsdale St,4,h,S,Marshall,17/09/2016
164,Albert Park,90 Danks St,3,h,S,Marshall,18/03/2017
165,Albert Park,129 Kerferd Rd,3,h,S,Greg,18/03/2017
166,Albert Park,97 Page St,3,h,S,Greg,18/03/2017
167,Albert Park,36 Ashworth St,3,h,SP,Marshall,18/06/2016
168,Albert Park,55 Withers St,4,h,VB,Cayzer,18/06/2016
169,Albert Park,18 Herbert St,3,h,SN,Cayzer,19/11/2016
170,Albert Park,10/140 Kerferd Rd,2,u,S,Greg,22/05/2016
171,Albert Park,9 Merton Pl,3,h,SP,Marshall,22/05/2016
172,Albert Park,55 Merton St,3,h,SP,Marshall,23/04/2016
173,Albert Park,16 Dinsdale St,3,h,S,Greg,24/09/2016
174,Albert Park,51 Graham St,2,h,PI,Marshall,24/09/2016
175,Albert Park,143 Kerferd Rd,7,h,SN,hockingstuart,24/09/2016
176,Albert Park,49 Page St,3,h,PI,Marshall,24/09/2016
177,Albert Park,13/52 Moubray St,1,u,S,Marshall,25/02/2017
178,Albert Park,115 Page St,4,h,S,Marshall,25/02/2017
179,Albert Park,32 Page St,2,h,S,Greg,25/02/2017
180,Albert Park,34 Richardson St,3,h,S,hockingstuart,25/02/2017
181,Albert Park,2b Dundas Pl,3,h,S,Chisholm,26/07/2016
182,Albert Park,22 Greig St,3,h,S,Greg,26/07/2016
183,Albert Park,27 Barrett St,4,h,S,Greg,27/06/2016
184,Albert Park,3 Faussett St,2,u,PI,Marshall,27/06/2016
185,Albert Park,44 Greig St,2,h,S,Marshall,27/11/2016
186,Albert Park,6 Brooke St,2,h,S,Greg,28/05/2016
187,Albert Park,7 Herbert Pl,2,h,SP,Marshall,28/05/2016
188,Albert Park,8 Kerferd Pl,4,h,SP,Marshall,28/05/2016
189,Albert Park,5 Reed St,3,h,SN,Greg,28/05/2016
190,Albert Park,227a Danks St,3,h,S,hockingstuart,28/08/2016
191,Albert Park,17 Reed St,3,h,PI,Marshall,28/08/2016
192,Albert Park,74 Bridport St,3,h,VB,Buxton,30/07/2016
193,Albert Park,9 Durham St,1,h,S,Marshall,30/07/2016
194,Alphington,30 Austin St,3,h,SN,McGrath,3/09/2016
195,Alphington,6 Smith St,4,h,S,Brace,3/09/2016
196,Alphington,5/6 Yarralea St,3,h,S,Jellis,3/09/2016
197,Alphington,136A Fulham Rd,3,h,S,Jellis,4/03/2017
198,Alphington,1/9 Roemer Cr,2,u,PI,Miles,7/05/2016
199,Alphington,4 Tuckett St,3,h,S,Jellis,7/05/2016
200,Alphington,2/21 Fulham Rd,3,t,SP,Holland,8/10/2016
201,Alphington,44 Shiers St,4,h,S,Collins,8/10/2016
202,Alphington,83 Fulham Rd,5,h,S,Nelson,12/06/2016
203,Alphington,29 Alphington St,5,h,S,Collins,12/11/2016
204,Alphington,3/19 Harker St,2,u,S,Miles,12/11/2016
205,Alphington,4/2 Miller St,2,t,S,Miles,12/11/2016
206,Alphington,2/5 Yarana Rd,2,u,S,McGrath,12/11/2016
207,Alphington,4/5 Chandler Hwy,4,t,PN,Nelson,13/08/2016
208,Alphington,69 Lucerne Cr,3,h,S,Nelson,13/08/2016
209,Alphington,815 Heidelberg Rd,3,h,PI,hockingstuart,15/10/2016
210,Alphington,44 Naroon Rd,3,h,S,Nelson,16/04/2016
211,Alphington,11 Tower Av,4,h,S,Jellis,16/04/2016
212,Alphington,1/17 Rex Av,2,u,PI,Nelson,17/09/2016
213,Alphington,3/98 Grange Rd,2,u,S,Nelson,18/03/2017
214,Alphington,10 Bennett St,4,h,S,Nelson,19/11/2016
215,Alphington,38 Bennett St,4,h,S,Nelson,19/11/2016
216,Alphington,2c Hamilton St,3,h,SP,hockingstuart,22/05/2016
217,Alphington,5/5 Yarana Rd,2,u,VB,Nelson,22/05/2016
218,Alphington,7/7 Chandler Hwy,2,t,SP,Brace,24/09/2016
219,Alphington,1/14 Fulham Rd,2,u,S,Love,25/02/2017
220,Alphington,17 Lowther St,3,h,S,Collins,25/02/2017
221,Alphington,29 Naroon Rd,4,h,SP,Jellis,25/02/2017
222,Alphington,13a Fulham Rd,3,h,S,Jellis,26/07/2016
223,Alphington,32/23 Coate Av,3,h,VB,Thomas,27/06/2016
224,Alphington,22 Lowther St,3,h,S,Barry,27/06/2016
225,Alphington,6/11 Broomfield Av,2,u,S,Jellis,27/11/2016
226,Alphington,11 Margaret Gr,4,h,SP,McGrath,27/11/2016
227,Alphington,21 Como St,5,h,SN,Nelson,28/08/2016
228,Alphington,6 Naroon Rd,3,h,SP,McGrath,28/08/2016
229,Alphington,42 Shiers St,4,h,S,Jellis,30/07/2016
230,Altona,158 Queen St,3,h,VB,Greg,3/09/2016
231,Altona,59 Bracken Gr,5,h,S,Greg,3/12/2016
232,Altona,1/123 Blyth St,2,t,S,hockingstuart,4/02/2016
233,Altona,4 Blyth St,3,h,S,Barlow,4/03/2017
234,Altona,20 Linnet St,4,h,PI,Sweeney,4/06/2016
235,Altona,29 Rose St,4,h,SP,Greg,4/06/2016
236,Altona,1/170 Blyth St,3,u,S,Barlow,6/08/2016
237,Altona,5/35 Grieve Pde,2,u,SP,hockingstuart,6/08/2016
238,Altona,156 Maidstone St,3,h,VB,Greg,7/05/2016
239,Altona,11 Keeshan Ct,3,h,S,Greg,7/11/2016
240,Altona,1/4 Deavey Ct,2,u,VB,hockingstuart,8/10/2016
241,Altona,1/136 Queen St,2,u,S,Barlow,8/10/2016
242,Altona,173 Queen St,3,h,S,hockingstuart,8/10/2016
243,Altona,1/265 Queen St,3,t,SP,hockingstuart,8/10/2016
244,Altona,3/26 Grieve Pde,2,u,S,Village,10/09/2016
245,Altona,261 Queen St,4,h,S,Barlow,10/09/2016
246,Altona,4/5 Rose St,2,u,S,hockingstuart,10/09/2016
247,Altona,1/60 David St,3,u,S,Jas,10/12/2016
248,Altona,1A Merritt Ct,3,t,S,hockingstuart,11/02/2017
249,Altona,4/31 Millers Rd,2,u,SP,Greg,11/02/2017
250,Altona,111/112 Pier St,2,u,SP,hockingstuart,11/02/2017
251,Altona,24 Wren St,4,h,S,hockingstuart,11/02/2017
252,Altona,54 Seves St,3,h,S,Williams,11/03/2017
253,Altona,1/152 Blyth St,3,t,SP,Gunn&Co,12/11/2016
254,Altona,2/6 Galvin St,3,t,SP,Williams,12/11/2016
255,Altona,4/57 Blyth St,3,u,SP,Barlow,13/08/2016
256,Altona,10 Wilga Av,3,t,S,hockingstuart,13/08/2016
257,Altona,164 Maidstone St,3,h,S,Sweeney,14/05/2016
258,Altona,3/25 Rayner St,2,u,SP,hockingstuart,14/05/2016
259,Altona,3/46 Sargood St,2,u,S,Burnham,15/10/2016
260,Altona,1/57 Blyth St,3,u,SP,Barlow,16/04/2016
261,Altona,22 Fenfield St,3,h,S,hockingstuart,16/04/2016
262,Altona,5/8 David St,2,u,PI,Biggin,16/07/2016
263,Altona,1/28 Seves St,3,h,S,hockingstuart,17/09/2016
264,Altona,27 McIntyre Dr,3,h,SP,Greg,18/03/2017
265,Altona,4 Boyd St,3,h,S,Barlow,19/11/2016
266,Altona,5a Emu Av,4,h,S,Barlow,19/11/2016
267,Altona,12 Spear Ct,3,t,S,hockingstuart,22/05/2016
268,Altona,185 Queen St,3,h,PI,Barlow,22/08/2016
269,Altona,3/20 Mulga St,3,u,S,Williams,23/04/2016
270,Altona,95 Blyth St,4,h,SN,hockingstuart,25/02/2017
271,Altona,51 Millers Rd,4,h,S,Barlow,25/02/2017
272,Altona,2/119 Railway St N,3,u,S,Barlow,25/02/2017
273,Altona,12 Ransom Av,3,h,S,Barlow,25/02/2017
274,Altona,2/5 Rose St,2,u,PI,Point,25/02/2017
275,Altona,24 McIntyre Dr,3,h,S,Barlow,27/06/2016
276,Altona,104 Maidstone St,2,h,SP,hockingstuart,27/11/2016
277,Altona,49 Bent St,3,h,S,Barlow,28/05/2016
278,Altona,5/57 Blyth St,3,u,SP,Barlow,28/05/2016
279,Altona,15 Kookaburra St,3,h,S,Sweeney,28/05/2016
280,Altona,219 Civic Pde,3,h,S,Greg,28/08/2016
281,Altona,3 Curtin Ct,4,h,S,Sweeney,28/08/2016
282,Altona,2/60 David St,2,h,SP,Compton,30/07/2016
283,Altona North,1 Beuron Rd,3,h,SP,Williams,3/09/2016
284,Altona North,45 Hearn St,5,h,S,FN,3/09/2016
285,Altona North,4 Knapp St,3,h,S,Jas,3/09/2016
286,Altona North,103 Sixth Av,4,h,S,hockingstuart,3/09/2016
287,Altona North,80A Hansen St,4,h,S,Sweeney,4/03/2017
288,Altona North,21 Hatherley Gr,3,h,SP,Jas,4/03/2017
289,Altona North,3/66 Marion St,2,t,S,hockingstuart,4/03/2017
290,Altona North,153 Mills St,3,h,S,Sweeney,4/03/2017
291,Altona North,1/70 Misten Av,2,h,S,hockingstuart,4/03/2017
292,Altona North,33 Carthy St,3,h,S,FN,4/06/2016
293,Altona North,47 Ginifer Av,3,h,SN,Barry,4/06/2016
294,Altona North,16 Harris St,3,h,S,Sweeney,4/06/2016
295,Altona North,1/5 Little St,3,h,VB,Greg,6/08/2016
296,Altona North,58a Clematis Av,4,t,S,hockingstuart,7/05/2016
297,Altona North,1/77 Hansen St,3,u,S,hockingstuart,7/05/2016
298,Altona North,21 Joel Av,3,h,SP,Village,7/05/2016
299,Altona North,1/95 Mills St,3,h,S,Williams,7/05/2016
300,Altona North,2/5 Stapley Cr,4,h,VB,hockingstuart,7/05/2016
301,Altona North,5 Binns St,3,h,PI,Village,7/11/2016
302,Altona North,2/9 First Av,2,h,SP,RT,7/11/2016
303,Altona North,1/28 Irwin Av,3,u,VB,hockingstuart,7/11/2016
304,Altona North,3/49 Misten Av,3,h,SP,hockingstuart,7/11/2016
305,Altona North,29a The Broadway,4,t,PN,Williams,7/11/2016
306,Altona North,25 Allan St,4,h,SP,Jas,8/10/2016
307,Altona North,9 Fourth Av,3,h,S,Barlow,8/10/2016
308,Altona North,11a Edward Av,3,t,S,Greg,10/09/2016
309,Altona North,45 Freemans Rd,4,h,PN,hockingstuart,10/12/2016
310,Altona North,21 Hatherley Gr,3,h,VB,Jas,10/12/2016
311,Altona North,1B Paproth Gr,2,h,SP,RT,10/12/2016
312,Altona North,7 Seventh Av,3,h,SP,Greg,10/12/2016
313,Altona North,1/256 Mason St,2,t,S,Williams,11/03/2017
314,Altona North,21 Allan St,4,h,SP,Williams,12/06/2016
315,Altona North,56a First Av,3,h,SP,RT,12/11/2016
316,Altona North,63a First Av,3,h,PI,RT,13/08/2016
317,Altona North,59 Misten Av,2,h,PI,Greg,13/08/2016
318,Altona North,85a First Av,3,t,VB,Greg,14/05/2016
319,Altona North,22 Joel Av,3,h,SP,Hunter,14/05/2016
320,Altona North,11 Mahon Av,3,h,S,Greg,14/05/2016
321,Altona North,2/36 May St,3,h,S,hockingstuart,14/05/2016
322,Altona North,11 Beevers St,3,h,S,Greg,15/10/2016
323,Altona North,2/10 Cleghorn Av,3,t,SP,Gunn&Co,15/10/2016
324,Altona North,2 Edward Av,4,h,S,hockingstuart,15/10/2016
325,Altona North,10 Murphy St,4,h,SP,Gunn&Co,15/10/2016
326,Altona North,128 Second Av,3,h,S,Hunter,15/10/2016
327,Altona North,5/24 Valerian Av,3,h,PI,Village,15/10/2016
328,Altona North,2/31 Cooper Av,2,h,SA,hockingstuart,16/07/2016
329,Altona North,9 Begonia Av,5,h,S,Sweeney,17/09/2016
330,Altona North,1/36 Amaranth Av,3,t,PI,RT,18/06/2016
331,Altona North,3/36 Amaranth Av,2,h,PI,RT,18/06/2016
332,Altona North,61 Cooper Av,3,h,S,Greg,18/06/2016
333,Altona North,10 Freemans St,3,h,VB,Greg,18/06/2016
334,Altona North,16 Beevers St,3,h,S,Sweeney,19/11/2016
335,Altona North,4/63 Marion St,1,u,PI,hockingstuart,19/11/2016
336,Altona North,150A McIntosh Rd,2,t,SP,Williams,19/11/2016
337,Altona North,21 Neal Ct,3,h,SP,hockingstuart,19/11/2016
338,Altona North,31 Duosa Rd,3,h,S,Greg,22/05/2016
339,Altona North,252 Millers Rd,4,h,SP,Raine&Horne,22/05/2016
340,Altona North,1/156 Chambers Rd,3,h,SP,Hunter,22/08/2016
341,Altona North,19 Cleghorn Av,3,h,S,Buxton,22/08/2016
342,Altona North,2 Gadsden St,3,h,S,Jas,22/08/2016
343,Altona North,24 Hansen St,3,h,S,hockingstuart,22/08/2016
344,Altona North,4 Prismall St,3,h,S,Sweeney,22/08/2016
345,Altona North,1/21 Freemans Rd,3,h,SP,RT,23/04/2016
346,Altona North,122 McIntosh Rd,3,h,S,Village,23/04/2016
347,Altona North,35 May St,2,h,S,RT,24/09/2016
348,Altona North,29 Cyclamen Av,2,h,PI,Jas,25/02/2017
349,Altona North,6 Hill St,3,h,S,hockingstuart,25/02/2017
350,Altona North,84 May St,4,h,S,Greg,25/02/2017
351,Altona North,81 Fifth Av,4,h,S,hockingstuart,26/07/2016
352,Altona North,23 Huxtable Av,3,h,S,Sweeney,26/07/2016
353,Altona North,155 Chambers Rd,4,h,S,Hunter,27/06/2016
354,Altona North,61a First Av,3,h,S,RT,27/06/2016
355,Altona North,268d Mason St,4,t,S,RT,27/06/2016
356,Altona North,5 Cresser St,4,h,SP,RT,27/11/2016
357,Altona North,1/33 Fifth Av,3,h,S,RT,27/11/2016
358,Altona North,1/8 Fourth Av,3,h,PI,Hunter,27/11/2016
359,Altona North,107 McIntosh Rd,3,h,SP,Hunter,27/11/2016
360,Altona North,10 Knapp St,3,h,PI,Hunter,28/05/2016
361,Altona North,4/221 Blackshaws Rd,2,u,S,Jas,28/08/2016
362,Altona North,56a MacDonald Av,3,t,PI,hockingstuart,28/08/2016
363,Altona North,126 Sixth Av,3,h,SP,RT,30/07/2016
364,Armadale,24 Hume St,3,h,S,RT,3/09/2016
365,Armadale,8/19 Mercer Rd,2,u,S,Jellis,3/09/2016
366,Armadale,1/42 Adelaide St,2,u,VB,Noel,3/12/2016
367,Armadale,14/71 Denbigh Rd,3,u,S,Marshall,3/12/2016
368,Armadale,4/769 High St,3,t,S,Jellis,3/12/2016
369,Armadale,12 Huntingtower Rd,3,h,S,Jellis,3/12/2016
370,Armadale,28 Lambeth Av,3,h,S,Marshall,3/12/2016
371,Armadale,7 Llaneast St,3,h,S,Jellis,3/12/2016
372,Armadale,9/55 Northcote Rd,1,u,S,Biggin,3/12/2016
373,Armadale,1/7 Railway Av,2,u,SP,hockingstuart,3/12/2016
374,Armadale,65 Barkly Av,3,h,S,Marshall,4/03/2017
375,Armadale,28 Cambridge St,3,h,S,Hodges,4/03/2017
376,Armadale,6 Cambridge St,4,h,SN,Thomson,4/03/2017
377,Armadale,3/16 Fulton St,2,u,S,hockingstuart,4/03/2017
378,Armadale,6 Fulton St,2,h,PI,Marshall,4/03/2017
379,Armadale,21 Lambeth Av,3,h,S,Jellis,4/03/2017
380,Armadale,3/20 Mercer Rd,3,t,SP,Jellis,4/03/2017
381,Armadale,7/53 Wattletree Rd,1,u,SP,hockingstuart,4/03/2017
382,Armadale,1/77 Wattletree Rd,2,u,SP,hockingstuart,4/03/2017
383,Armadale,12 Willis St,3,h,S,Marshall,4/03/2017
384,Armadale,12 Alleyne Av,4,h,S,RT,4/06/2016
385,Armadale,3/10 Denbigh Rd,2,u,SP,hockingstuart,4/06/2016
386,Armadale,8/71 Denbigh Rd,2,u,VB,Jellis,4/06/2016
387,Armadale,11/17 Myamyn St,2,u,S,Jellis,4/06/2016
388,Armadale,526 Orrong Rd,4,h,VB,Jellis,4/06/2016
389,Armadale,37 Barkly Av,2,h,S,Jellis,6/08/2016
390,Armadale,553 Dandenong Rd,5,h,PI,Jellis,7/05/2016
391,Armadale,17 Egerton Rd,4,h,S,Marshall,7/05/2016
392,Armadale,9/19 Mercer Rd,3,u,PI,Marshall,7/05/2016
393,Armadale,6/26 Mercer Rd,2,u,S,Jellis,7/05/2016
394,Armadale,538a Orrong Rd,3,t,S,RT,7/05/2016
395,Armadale,557 Orrong Rd,4,h,S,Jellis,7/05/2016
396,Armadale,5/68 Rose St,3,t,S,Jellis,7/05/2016
397,Armadale,11/38 Wattletree Rd,2,u,S,hockingstuart,7/05/2016
398,Armadale,24 Lambeth Av,5,h,S,Marshall,7/11/2016
